Group_Name,Year,Month,Report_Year_Month,Volume,Open_Interest
"Interest Rates",2016,5,2016-5,2587106,910641
Metals,2016,5,2016-5,490,0
Other,2016,5,2016-5,1158,2236
Agriculture,2016,6,2016-6,1013,783
Currencies,2016,6,2016-6,3590,2799
Energy,2016,6,2016-6,545,2867
Equity,2016,6,2016-6,101032,1056899
"Interest Rates",2016,6,2016-6,5310088,844450
Metals,2016,6,2016-6,688,0
Other,2016,6,2016-6,5102,4941
Agriculture,2016,7,2016-7,105,833
Currencies,2016,7,2016-7,5440,3499
Energy,2016,7,2016-7,636,2606
Equity,2016,7,2016-7,88315,1067226
"Interest Rates",2016,7,2016-7,2275549,832827
Metals,2016,7,2016-7,513,0
Other,2016,7,2016-7,4625,5798
Agriculture,2016,8,2016-8,308,410
Currencies,2016,8,2016-8,2597,3072
Energy,2016,8,2016-8,760,2928
Equity,2016,8,2016-8,131384,1130173
"Interest Rates",2016,8,2016-8,2143253,834114
Metals,2016,8,2016-8,645,0
Other,2016,8,2016-8,2246,4634
Agriculture,2016,9,2016-9,0,387
Currencies,2016,9,2016-9,5408,2696
Energy,2016,9,2016-9,591,3088
Equity,2016,9,2016-9,558069,874023
"Interest Rates",2016,9,2016-9,5124341,821976
Metals,2016,9,2016-9,467,0
Other,2016,9,2016-9,3036,4101
Agriculture,2017,1,2017-1,144,741
Currencies,2017,1,2017-1,5469,2068
Energy,2017,1,2017-1,1105,2573
Equity,2017,1,2017-1,82404,661728
"Interest Rates",2017,1,2017-1,1996427,952493
Metals,2017,1,2017-1,778,0
Other,2017,1,2017-1,1947,2270
Agriculture,2017,2,2017-2,308,616
Currencies,2017,2,2017-2,4710,2770
Energy,2017,2,2017-2,592,2604
Equity,2017,2,2017-2,65767,658437
"Interest Rates",2017,2,2017-2,2611691,1047213
Metals,2017,2,2017-2,813,0
Other,2017,2,2017-2,808,1484
Agriculture,2017,3,2017-3,56,10
Currencies,2017,3,2017-3,7649,2391
Energy,2017,3,2017-3,647,2894
Equity,2017,3,2017-3,298893,643154
"Interest Rates",2017,3,2017-3,5736801,982568
Metals,2017,3,2017-3,508,0
Other,2017,3,2017-3,719,780
Agriculture,2017,4,2017-4,102,112
Currencies,2017,4,2017-4,4220,1730
Energy,2017,4,2017-4,1290,2800
Equity,2017,4,2017-4,151534,652038
"Interest Rates",2017,4,2017-4,2467932,945875
Metals,2017,4,2017-4,404,0
Other,2017,4,2017-4,524,937
Agriculture,2017,5,2017-5,40,142
Currencies,2017,5,2017-5,5696,2061
Energy,2017,5,2017-5,402,2928
Equity,2017,5,2017-5,213094,658047
"Interest Rates",2017,5,2017-5,3075707,987817
Metals,2017,5,2017-5,736,0
Other,2017,5,2017-5,2303,1730
Agriculture,2017,6,2017-6,1,137
Currencies,2017,6,2017-6,6000,2888
Energy,2017,6,2017-6,403,2956
Equity,2017,6,2017-6,785528,493812
"Interest Rates",2017,6,2017-6,5770368,956043
Metals,2017,6,2017-6,569,0
Other,2017,6,2017-6,2425,2562
Agriculture,2017,7,2017-7,124,102
Currencies,2017,7,2017-7,6411,1756
Energy,2017,7,2017-7,989,2879
Equity,2017,7,2017-7,71258,512721
"Interest Rates",2017,7,2017-7,3053517,983021
Metals,2017,7,2017-7,366,0
Other,2017,7,2017-7,1892,2865
