Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
H-Shares Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"2,604,162",9.81%,1.59%,"287,389",-9.25%,-15.71%
H-shares Index,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"1,818,059",32.50%,12.22%,"2,985,321",6.10%,21.69%
PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Day 5 MW (PNO),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"133,136",5.49%,155.44%
Hang Seng Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"3,006,584",19.93%,14.05%,"165,050",0.17%,18.20%
Hang Seng Index,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"1,114,083",29.07%,47.09%,"442,455",12.84%,69.44%
PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW (L3),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"903,149",-10.79%,5.53%
Hang Seng Mainland Banks Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"1,334",175.05%,22133.33%,67,139.29%,
Hang Seng Mainland Oil & Gas Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,630,64.92%,,91,313.64%,
Hang Seng Mainland Properties Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"1,345",370.28%,,22,83.33%,
Hard Coking Coal,Future,Energy,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"5,815,072",85.70%,231.37%,"147,901",-15.99%,18.98%
Hard Red Spring Wheat,Future,Agriculture,Minneapolis Grain Exchange,United States,North America,Minneapolis Grain Exchange,"286,269",3.20%,10.58%,"79,519",-12.44%,30.34%
Hard Red Spring Wheat,Option,Agriculture,Minneapolis Grain Exchange,United States,North America,Minneapolis Grain Exchange,"25,226",4.20%,1583.98%,"16,891",-26.27%,421.65%
HDD Seasonal Strip Weather,Option,Other,Chicago Mercantile Exchange,United States,North America,CME Group,"7,500",,,"6,500",,
PJM Northern Illinois Hub Day-Ahead Off-Peak Financial (5 MW) (NICQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"37,344",0.00%,166.44%
Heating Oil,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"544,257",29.60%,22.89%,"21,006",-12.98%,-10.74%
Heating Oil Penultimate Financial (OQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"4,550",178.63%,,203,70.59%,331.91%
Henry Hub Natural Gas (NG),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"8,159,356",8.57%,-4.09%,"1,298,286",-2.64%,24.04%
PJM Northern Illinois Hub Day-Ahead Off-Peak Financial (50 MWH) (NIDQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"30,384",0.00%,
PJM Northern Illinois Hub Day-Ahead Peak Calendar-Day 5 MW (PNP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"5,500",-10.64%,111.70%
"Henry Hub Natural Gas Financial (2,500 MMBTU) (NNQ)",Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"7,799",106.54%,-55.79%,"187,006",-5.89%,118.36%
"Henry Hub Natural Gas Financial (10,000 MMBTU) (HHQ)",Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"8,334",30.77%,-70.71%,"43,805",2.27%,4.79%
Henry Hub Natural Gas Last Day Financial (NN),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"260,442",5.82%,-31.59%,"1,216,460",-3.85%,-9.08%
"Henry Hub Natural Gas Penultimate Financial (2,500 MMBTU) (NPQ)",Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"42,608",210.15%,150.96%,"51,234",48.30%,54.58%
"Henry Hub Natural Gas Penultimate Financial (10,000 MMBTU) (HUQ)",Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"44,825",51.68%,141.88%,"44,455",7.59%,38.48%
"Henry Hub Natural Gas Penultimate Financial (10,000 MMBTU) (LNQ)",Option,Energy,Nasdaq NFX,United States,North America,Nasdaq,"672,625",51.19%,91.57%,"834,422",19.09%,43.65%
Henry Hub Natural Gas Penultimate Financial (NP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"64,946",2.97%,-44.41%,"222,757",-2.51%,-26.34%
High Grade Primary Aluminum,Option,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,"376,492",114.06%,90.03%,"311,511",41.35%,55.16%
PJM Northern Illinois Hub Day-Ahead Peak Financial (50 MW) (NIBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,-100.00%,,"1,659",0.00%,
Hong Kong Dollar/Japanese Yen,Future,Currencies,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,717,-48.57%,67.52%,476,-4.99%,255.22%
Hot Rolled Coil,Future,Metals,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,"14,293,645",44.17%,281.75%,"499,914",35.61%,182.10%
Housing Index,Option,Other,Chicago Mercantile Exchange,United States,North America,CME Group,10,,,10,,-44.44%
PJM Northern Illinois Hub Real-Time Peak Calendar-Day 5 MW (UD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,314,6.80%,76.40%
PJM Northern Illinois Hub Real-Time Peak Calendar-Month 2.5 MW (UM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,100,-16.67%,-70.59%
PJM Off-Peak Calendar-Month LMP (JP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,706,-5.61%,-69.52%
HSCEI Dividend Point Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"55,463",426.86%,14.44%,"119,928",-0.88%,-27.51%
HSI Dividend Point Index,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"2,650",278.03%,,"11,122",13.24%,57.07%
PJM PSEG Zone Day-Ahead Peak Mini Financial (5 MW) (PSAQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"1,065",0.00%,
Hydrous Ethanol,Future,Other,B3,Brazil,Latin America,B3,"1,838",-2.85%,,"2,461",-14.10%,
PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP (W6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"101,160",-7.73%,-25.86%
Ibex 35,Future,Equity,MEFF,Spain,Europe,MEFF,"471,127",3.64%,-0.03%,"102,046",0.54%,16.03%
Ibex 35,Option,Equity,MEFF,Spain,Europe,MEFF,"160,879",-13.75%,-5.29%,"643,723",0.07%,0.45%
Ibex 35 Dividend Impact,Future,Equity,MEFF,Spain,Europe,MEFF,"1,007",-81.91%,,"23,884",0.00%,-0.02%
Ibex 35 Sectoral,Future,Equity,MEFF,Spain,Europe,MEFF,310,-42.59%,,105,-47.50%,
Ibovespa Index,Future,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"1,047",588.82%,28.31%,345,65.87%,66.67%
Ibovespa Index,Option,Equity,B3,Brazil,Latin America,B3,"123,041",54.15%,,"9,755",111.88%,
PJM PSEG Zone Peak Calendar-Month Day-Ahead LMP 5 MW (L6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"4,260",-8.58%,-16.47%
IBrX-50,Future,Equity,B3,Brazil,Latin America,B3,237,-89.47%,,"1,289",-26.00%,
PJM Western Hub Day-Ahead Off-Peak Calendar-Day 5 MW (PWO),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"85,400",5.17%,42.03%
ICE Global Oil Products,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"3,442,350",16.29%,32.40%,"3,730,871",2.70%,17.02%
ICE Global Oil Products,Option,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"131,241",-3.69%,86.08%,"605,663",-6.64%,-9.67%
ID x IPCA spread,Future,Interest Rates,B3,Brazil,Latin America,B3,"219,200",-12.23%,,"336,048",14.95%,
PJM Western Hub Day-Ahead Off-Peak Financial (5 MWH) (OPBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"23,320",0.00%,
ID x US Dollar FRA,Future,Interest Rates,B3,Brazil,Latin America,B3,"5,015,859",22.08%,,0,,
PJM Western Hub Day-Ahead Off-Peak Financial (50 MWH) (PJDQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"1,496",0.00%,
ID x US Dollar Spread,Future,Interest Rates,B3,Brazil,Latin America,B3,"216,316",74.20%,,"3,288,981",8.07%,
PJM Western Hub Day-Ahead Peak Calendar-Day 5 MW (PWP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"5,125",-34.86%,35.08%
PJM Western Hub Day-Ahead Peak Financial (5 MW) (PJBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"2,345",0.00%,2448.91%
PJM Western Hub Real-Time Off-Peak Calendar-Day 5 MW (WOR),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"23,232",-5.47%,-55.35%
IDI Index,Option,Other,B3,Brazil,Latin America,B3,"11,537,620",132.95%,,"14,549,587",62.50%,
PJM Western Hub Real-Time Peak Calendar-Day 5 MW (JD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,916,-3.17%,13.65%
IDX,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"4,472,269",2461.47%,199.08%,"12,407,363",-11.60%,-35.32%
IDX Dividend,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"4,230,010",3057.20%,213.75%,"11,899,416",-12.09%,-36.42%
PJM Western Hub Real-Time Peak Calendar-Month 2.5 MW (JM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"2,304",-7.32%,-70.60%
Indian Rupee,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"35,535",50.48%,238.20%,971,1.78%,45.14%
Indian Rupee,Future,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"761,411",4.30%,-20.71%,"137,307",-5.74%,-17.30%
Indian Rupee,Option,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"28,179",123.59%,12.96%,"3,041",-17.61%,-65.55%
Indian Single Stock,Future,Equity,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"217,386",1.22%,7655.48%,807,179.24%,353.37%
PJM Western Hub Real-Time Peak Mini Financial (1 MW) (PMIQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,"1,204",0.00%,
INR/USD,Future,Currencies,Singapore Exchange,Singapore,Asia,Singapore Exchange,"604,857",1.36%,50.76%,"30,069",-19.96%,-16.54%
INR/USD,Option,Currencies,Singapore Exchange,Singapore,Asia,Singapore Exchange,128,58.02%,509.52%,0,,-100.00%
Platinum,Option,Metals,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0,,-100.00%,30,0.00%,0.00%
Powder River Basin Coal (Platts OTC Broker Index) (QP),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,405,-22.86%,-84.12%
Interest Rate Swap,Future,Interest Rates,B3,Brazil,Latin America,B3,"9,045",-49.71%,,"492,123",-2.20%,
Premium Unleaded Gasoline 10 PPM FOB MED (Platts) Balance of the Month (8G),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,32,0.00%,220.00%
Price Index x Exchange Rate Swap,Future,Interest Rates,B3,Brazil,Latin America,B3,0,,,"2,393",0.00%,
Interest Rate x Exchange Rate,Future,Interest Rates,B3,Brazil,Latin America,B3,"12,477",-32.37%,,"1,640,921",0.34%,
Rockies Natural Gas (Platts IFERC) Basis (NR),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"50,133",-5.55%,-40.67%
Interest Rate x Price Index Swap,Future,Interest Rates,B3,Brazil,Latin America,B3,"19,854",165350.00%,,"1,039,037",1.17%,
Rockies Natural Gas (Platts IFERC) Fixed Price (XR),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,,303,-9.28%,-54.64%
S&P GSCI Enhanced ER Swap,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,0,,,"17,033",0.00%,30.30%
San Juan Natural Gas (Platts IFERC) Basis (NJ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"24,790",-5.88%,-35.82%
IOB DR Futures on Individual Equities,Future,Equity,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,"32,335",-56.51%,,"206,770",11.91%,585.85%
IOB DR Options on Individual Equities,Option,Equity,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,"179,227",-6.05%,1474.10%,"802,734",14.59%,424.94%
San Juan Natural Gas (Platts IFERC) Pipe (PJ),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"4,552",-1.90%,-41.01%
IPC Stock Index,Future,Equity,Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,"37,692",6.69%,-21.56%,"41,536",4.80%,-1.55%
IPC Stock Index,Option,Equity,Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,957,-45.38%,-57.86%,"3,858",12.48%,-43.21%
Singapore Fuel Oil 180 CST (Platts) 6.35 Dubai (Platts) Crack Spread (STS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,685,-47.71%,756.25%
Iron Ore,Future,Metals,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,"38,041,898",28.95%,70.97%,"854,375",-19.08%,-11.98%
Iron Ore 62%,Future,Metals,SGX,Singapore,Asia,Singapore Exchange,"1,252,380",15.16%,51.53%,"547,769",5.75%,1.38%
"Iron Ore 62% Fe, CFR China (TSI) (TIO)",Future,Metals,New York Mercantile Exchange,United States,North America,CME Group,"7,147",59.42%,-45.50%,"16,231",-12.29%,-25.14%
"Iron Ore 62% Fe, CFR China (TSI) Average Price (ICT)",Option,Metals,New York Mercantile Exchange,United States,North America,CME Group,"9,250",221.18%,197.62%,"20,036",51.20%,-36.62%
"Iron Ore 62% Fe, CFR North China (Platts) (PIO)",Future,Metals,New York Mercantile Exchange,United States,North America,CME Group,"1,770",-56.51%,,"5,178",-8.39%,407.65%
Iron Ore Lump Premium,Future,Metals,SGX,Singapore,Asia,Singapore Exchange,"24,450",321.19%,1646.43%,"16,250",410.20%,1060.71%
Singapore Fuel Oil 380 CST (Platts) Average Price (8H),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,250,-16.67%,
Singapore Fuel Oil 380 CST (Platts) Brent Crack Spread (1000 MT) (SF3),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,9,0.00%,-10.00%
Singapore Gasoil 10 PPM (Platts) vs. Singapore Gasoil (Platts) (STZ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,450,-35.71%,275.00%
Singapore Gasoil (Platts) Average Price (M2),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,125,-16.67%,-58.33%
Singapore Jet Kerosene (Platts) Average Price (N2),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,200,-16.67%,-75.00%
ISE FX Canadian Dollar (CDD),Option,Currencies,International Securities Exchange,United States,North America,Eurex,8,300.00%,-98.59%,,,
Singapore Jet Kerosene (Platts) Dubai (Platts) Crack Spread (KSD),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,50,-33.33%,
ISE FX Euro (EUI),Option,Currencies,International Securities Exchange,United States,North America,Eurex,3,,-99.95%,,,
Singapore Mogas 95 Unleaded (Platts) (V0),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,125,-16.67%,0.00%
Single Stock Dividend Plus,Future,Equity,MEFF,Spain,Europe,MEFF,0,,,540,0.00%,2600.00%
SMI Index Dividend,Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,"1,532",0.00%,11.01%
Sorghum Bitter GH1,Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0,-100.00%,,62,0.00%,
"Southern Natural, Louisiana Natural Gas (Platts IFERC) Basis (SZ)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,244,-20.26%,-87.87%
"Southern Star, Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis (8Z)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,184,-8.00%,-85.16%
Soya Bean Crush (CRS),Future,Agriculture,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0,,,8,0.00%,
ISE FX Spot EUR/USD (EUU),Option,Currencies,International Securities Exchange,United States,North America,Eurex,19,137.50%,-92.75%,,,
Soybean Nearby + 2 Calendar Spread,Option,Agriculture,Chicago Board of Trade,United States,North America,CME Group,0,,,10,0.00%,
ISE FX Spot GBP/USD (GBP),Option,Currencies,International Securities Exchange,United States,North America,Eurex,45,,-47.67%,,,
STIBOR-FRA,Option,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,0,,,"40,000",0.00%,
Stoxx Europe 50 Index,Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,"16,368",0.00%,187.97%
Stoxx Europe 600 Financial Services,Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,11,0.00%,-94.66%
Stoxx Europe 600 Media,Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,40,0.00%,-24.53%
Stoxx Europe 600 Oil & Gas Index Dividend,Future,Equity,Eurex,Germany,Europe,Eurex,0,,,200,0.00%,-92.65%
Stoxx Europe 600 Personal & Household Goods,Option,Equity,Eurex,Germany,Europe,Eurex,0,,-100.00%,6,0.00%,-98.93%
Stoxx Europe 600 Telecommunications,Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,"10,321",-1.43%,6873.65%
ISE FX Yen (YUK),Option,Currencies,International Securities Exchange,United States,North America,Eurex,145,-26.77%,-84.67%,,,
Stoxx Europe Mid 200,Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"1,765",0.00%,
Stoxx Europe Small 200 Index,Option,Equity,Eurex,Germany,Europe,Eurex,0,,,"6,525",0.00%,
iShares DAX® UCITS ETF (DE),Option,Equity,Eurex,Germany,Europe,Eurex,"5,452",706.51%,323.95%,"6,066",121.95%,-14.78%
iShares Euro Stoxx 50 UCITS ETF,Option,Equity,Eurex,Germany,Europe,Eurex,"21,613",-55.87%,9.13%,"36,651",-1.61%,64.81%
iShares Euro Stoxx 50 UCITS ETF (Dist),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,412,-60.76%,-59.17%,"3,610",-33.35%,277.62%
iShares Euro Stoxx 50 UCITS ETF (Dist) (Weekly),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,84,82.61%,,37,-11.90%,
Stoxx Global Select Dividend 100 Index,Option,Equity,Eurex,Germany,Europe,Eurex,0,,-100.00%,"9,738",0.00%,-57.83%
iShares MSCI Emerging Markets UCITS ETF (Dist),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,27,-88.80%,-42.55%,250,3.31%,4.17%
iShares MSCI Emerging Markets UCITS ETF (Dist) (Weekly),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,8,100.00%,,6,50.00%,
iShares MSCI Europe UCITS ETF (Dist),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,24,700.00%,26.32%,781,2.23%,808.14%
iShares MSCI Japan EUR Hedged UCITS ETF,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,5,-37.50%,25.00%,230,0.88%,1337.50%
iShares MSCI World UCITS ETF (Dist),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,119,357.69%,376.00%,196,12.00%,100.00%
iShares S&P 500 UCITS ETF (Dist),Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,42,27.27%,-50.00%,207,2.48%,-57.49%
Sumas Natural Gas (Platts IFERC) Basis (NK),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"7,679",-7.47%,-24.70%
Sumas Natural Gas (Platts IFERC) Fixed Price (DVS),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,,244,-20.26%,-78.93%
ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP (U6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,840,21.74%,-94.97%,"39,919",-5.54%,11.97%
Supramax Dry Freight,Option,Other,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,,,"4,530",-4.43%,214.58%
Swiss Leader Index (SLI),Option,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,862,0.00%,-59.91%
TC2 USD Tanker Freight,Option,Other,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,-100.00%,,80,-11.11%,
TD3 USD Tanker Freight,Option,Other,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,,,200,0.00%,
TD8 USD Tanker Freight,Future,Other,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,-100.00%,-100.00%,140,-36.36%,460.00%
Tennessee 500 Leg Natural Gas (Platts IFERC) Basis (NM),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,122,-33.70%,-92.52%
Tennessee 800 Leg Natural Gas (Platts IFERC) Basis (6Z),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,122,-33.70%,-89.98%
Tennessee Zone 0 Natural Gas (Platts IFERC) Basis (NQ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,726,-7.87%,-64.69%
TETCO M-3 Natural Gas (Platts Gas Daily/Platts IFERC) Index (IX),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"2,576",-25.20%,-73.16%
TETCO STX Natural Gas (Platts IFERC) Basis (TX),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"1,096",-7.82%,-59.53%
"Texas Gas, Zone 1 Natural Gas (Platts IFERC) Basis (9F)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"8,488",-7.50%,-41.70%
Transco Zone 3 Natural Gas (Platts Gas Daily/Platts IFERC) Index (Y6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"3,128",-25.20%,
Transco Zone 3 Natural Gas (Platts IFERC) Basis (CZ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"4,929",-6.47%,-36.19%
Transco Zone 4 Natural Gas (Platts IFERC) Basis (TR),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"14,047",-9.58%,-49.24%
Transco Zone 6 Natural Gas (Platts Gas Daily/Platts IFERC) Index (IT),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,736,-25.20%,-75.82%
Transco Zone 6 Natural Gas (Platts IFERC) Basis (NZ),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,-100.00%,"4,267",-15.89%,-4.18%
Israeli Shekel,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,228,,,228,,
Israeli Shekel/US Dollar,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,420,-0.47%,-57.83%,372,564.29%,-73.99%
iStoxx Europe Carry Factor Index (FXFC),Future,Equity,Eurex,Germany,Europe,Eurex,20,-99.12%,,637,3.07%,
iStoxx Europe Low Risk Factor Index (FXFR),Future,Equity,Eurex,Germany,Europe,Eurex,"1,157",2654.76%,,570,-10.09%,
iStoxx Europe Momentum Factor Index (FXFM),Future,Equity,Eurex,Germany,Europe,Eurex,"5,844",13490.70%,,"6,434",20.78%,
iStoxx Europe Quality Factor Index (FXFQ),Future,Equity,Eurex,Germany,Europe,Eurex,"3,200",6566.67%,,"2,272",238.10%,
iStoxx Europe Size Factor Index (FXFS),Future,Equity,Eurex,Germany,Europe,Eurex,29,-14.71%,,"2,157",0.05%,
iStoxx Europe Value Factor Index (FXFV),Future,Equity,Eurex,Germany,Europe,Eurex,386,-92.97%,,"8,015",5.06%,
Italian PSV Natural Gas,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"1,315",176.84%,1361.11%,"2,695",28.64%,1696.67%
Japan 225,Option,Equity,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"6,034",-17.88%,-82.11%,,,
Japan C&F Naphtha (Platts) (JA),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"1,089",21.81%,-41.14%,"1,507",-10.83%,-18.67%
Transco Zone 6 Non-N.Y. Natural Gas (Platts Gas Daily/Platts IFERC) Index (TZI),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,368,-25.20%,-87.75%
Japan C&F Naphtha (Platts) Brent Crack Spread (JB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,746,936.11%,13.55%,"2,020",4.61%,50.63%
Japanese Yen,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"3,398,447",20.52%,52.68%,"206,852",-14.38%,24.96%
Japanese Yen,Future,Currencies,Korea Exchange,South Korea,Asia,Korea Exchange,"48,653",19.83%,15.58%,"13,282",2.48%,-20.28%
TRY/HUF,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,0,,-100.00%,"4,395",0.00%,-27.65%
Japanese yen,Future,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"3,972",-28.39%,-4.10%,574,66.86%,172.04%
UK Power Base (Month),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,-100.00%,,3,-81.25%,-92.11%
Japanese Yen/Indian Rupee,Future,Currencies,National Stock Exchange of India,India,Asia,National Stock Exchange of India,"609,913",-8.24%,-43.06%,"23,635",9.96%,-44.83%
Japanese Yen/US Dollar 12.5,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,201,-63.72%,-89.60%,249,12.67%,-53.89%
Japanese/Rand,Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"5,874",9223.81%,-64.72%,199,-96.72%,-99.14%
Japonica Rice (JR),Future,Agriculture,Zhengzhou Commodity Exchange,China,Asia,Zhengzhou Commodity Exchange,24,84.62%,-35.14%,0,-100.00%,-100.00%
Jeera,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,"57,697",-16.47%,-52.71%,"7,207",28.79%,-10.52%
Jet Aviation Fuel Cargoes FOB MED (Platts) (1T),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,42,,,78,62.50%,
UK Power Base (Year),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,0,,,1,0.00%,-93.33%
Jet Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (JC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,10,-92.25%,-83.87%,475,-15.18%,-8.12%
