Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Volume_YTD,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change,Open_Interest_YTD,Open_Interest_YTD_Change
North American Power,Future,Energy,United States,North America,ICE Futures U.S.,Intercontinental Exchange,"993,451",5.0%,-51.8%,13405343,-33.8%,"2,999,546",-1.2%,-58.6%,42735926,-36.0%
North American Natural Gas and Power,Option,Energy,United States,North America,ICE Futures U.S.,Intercontinental Exchange,"2,542,773",-5.4%,-20.6%,32771026,13.4%,"5,101,295",-7.5%,-5.3%,54211545,-5.7%
North American Natural Gas,Future,Energy,United States,North America,ICE Futures U.S.,Intercontinental Exchange,"11,614,155",7.8%,-9.0%,114098915,-0.8%,"12,172,485",-0.9%,16.9%,109761590,18.3%
All Futures on Individual Equities,Future,Equity,India,Asia,India International Exchange,BSE,140,-91.8%,,38782,,0,-100.0%,,161,
Gold,Future,Metals,India,Asia,India International Exchange,BSE,"10,317",-36.7%,,53517,,15,-79.2%,,259,
S&P BSE Sensex 50 Index,Future,Equity,India,Asia,India International Exchange,BSE,"31,985",-19.1%,,289350,,35,-90.0%,,891,
Olein,Future,Agriculture,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,39,50.0%,-18.8%,222,-32.5%,0,-100.0%,-100.0%,8,-42.9%
Tin,Future,Metals,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,"1,373",1.3%,-8.6%,11038,16.3%,0,,,0,
Palm Oil,Future,Agriculture,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,"3,939",-2.6%,-90.3%,38260,-88.1%,0,,,4,-98.6%
Gold (GR),Future,Metals,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,"12,038",-7.4%,-7.2%,109360,-11.9%,0,,,0,
Gold (ID),Future,Metals,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,"3,126",3.6%,681.5%,20408,546.2%,3,0.0%,0.0%,27,-12.9%
Gold (UD),Future,Metals,Indonesia,Asia,Indonesia Commodity & Derivatives Exchange,Indonesia Commodity & Derivatives Exchange,58,,,58,-70.4%,188,-23.6%,-23.9%,2156,-4.5%
ISE FX Spot GBP/USD (GBP),Option,Currencies,United States,North America,International Securities Exchange,Eurex,10,-77.8%,-90.1%,401,-88.8%,,,,0,
ISE FX Canadian Dollar (CDD),Option,Currencies,United States,North America,International Securities Exchange,Eurex,12,50.0%,-99.1%,3077,-76.1%,,,,0,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,United States,North America,International Securities Exchange,Eurex,167,363.9%,16600.0%,1032,-9.9%,,,,0,
ISE FX Yen (YUK),Option,Currencies,United States,North America,International Securities Exchange,Eurex,174,20.0%,-70.1%,15182,94.6%,,,,0,
Nasdaq Non-Financial 100 Index (NDX),Option,Equity,United States,North America,International Securities Exchange,Eurex,"86,821",-16.5%,608.9%,807540,58.1%,,,,0,
All Options on Exchange Traded Funds,Option,Equity,United States,North America,International Securities Exchange,Eurex,"11,811,407",-14.5%,-33.5%,116770102,-36.9%,,,,0,
All Options on Individual Equities,Option,Equity,United States,North America,International Securities Exchange,Eurex,"13,552,503",-5.0%,-29.9%,131224065,-22.7%,,,,0,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,United States,North America,International Securities Exchange Gemini,Eurex,15,-90.4%,36.4%,1555,99.9%,,,,0,
Nasdaq Non-Financial 100 Index (NDX),Option,Equity,United States,North America,International Securities Exchange Gemini,Eurex,"14,821",-12.8%,636.3%,132235,56.5%,,,,0,
All Options on Exchange Traded Funds,Option,Equity,United States,North America,International Securities Exchange Gemini,Eurex,"5,040,431",-34.6%,46.9%,55304809,76.6%,,,,0,
All Options on Individual Equities,Option,Equity,United States,North America,International Securities Exchange Gemini,Eurex,"9,412,452",-7.6%,261.7%,88704926,174.0%,,,,0,
All Options on Exchange Traded Funds,Option,Equity,United States,North America,International Securities Exchange Mercury,Eurex,"116,194",-11.5%,-54.8%,1041886,-28.3%,,,,0,
All Options on Individual Equities,Option,Equity,United States,North America,International Securities Exchange Mercury,Eurex,"412,400",12.0%,-5.1%,3077523,8.9%,,,,0,
SL-JGB 20 Year Japan Government Bond,Future,Interest Rates,Japan,Asia,Japan Exchange,Japan Exchange,21,-30.0%,-19.2%,269,-64.2%,1,-66.7%,-83.3%,81,-85.0%
CNX Nifty Index,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,88,27.5%,,292,-45.5%,16,45.5%,,41,-66.9%
Mini 10 Year Japan Government Bond,Future,Interest Rates,Japan,Asia,Japan Exchange,Japan Exchange,204,129.2%,-8.5%,1201,-77.5%,105,7.1%,45.8%,737,-45.8%
Topix Core30,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,292,1985.7%,-33.6%,2225,-39.8%,199,126.1%,-28.4%,2088,-46.9%
Nikkei VI,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"1,297",-8.6%,-42.6%,13782,-79.9%,388,-32.8%,-32.5%,6555,-68.2%
OSE DJIA,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"10,534",-3.6%,20.1%,52218,11.3%,"1,240",-45.4%,-45.4%,10618,-7.6%
Nikkei 225 Weekly,Option,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"52,396",6.0%,115.2%,360705,109.4%,"3,187",-46.5%,747.6%,26637,109.5%
TSE Mothers Index,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"49,858",20.7%,325.3%,166901,418.0%,"7,018",0.1%,110.0%,49307,419.5%
Nikkei 225 Dividend Index,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,0,-100.0%,,5371,7572.9%,"9,031",0.0%,156.9%,107828,165.0%
10 Year Japan Government Bond,Option,Interest Rates,Japan,Asia,Japan Exchange,Japan Exchange,"89,339",20.7%,5.0%,624405,-18.4%,"13,457",-1.5%,-25.3%,134700,10.0%
Topix Banks Index,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"37,786",3226.2%,260.5%,124243,1033.4%,"17,181",4.3%,65.3%,138084,1147.7%
REIT Index,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"62,831",424.1%,46.8%,225283,17.9%,"23,746",-2.8%,36.3%,195287,17.3%
Mini-Topix,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"384,981",12.0%,107.0%,2323280,-0.7%,"51,807",100.3%,117.7%,330713,-31.3%
Topix Index,Option,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"15,617",113.8%,-23.9%,184793,122.7%,"61,255",-8.3%,112.6%,520117,182.8%
All Options on Individual Equities (Combined),Option,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"84,854",-0.6%,42.6%,707924,0.6%,"88,320",-13.9%,82.4%,629934,-13.5%
10 Year Japan Government Bond,Future,Interest Rates,Japan,Asia,Japan Exchange,Japan Exchange,"1,013,477",69.5%,38.4%,5810250,2.6%,"92,611",-9.9%,57.9%,847575,16.1%
JPX-Nikkei Index 400,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"857,945",54.7%,8.9%,5256169,-6.9%,"147,881",-28.5%,-5.5%,1574727,-13.1%
Nikkei 225,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"2,561,462",76.6%,10.8%,16473042,-19.1%,"409,485",-14.0%,1.7%,4094357,-5.4%
Nikkei 225 Mini,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"16,841,711",5.5%,13.0%,155001402,-14.6%,"464,028",-22.8%,8.2%,4649578,-1.9%
Topix,Future,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"3,393,692",144.6%,27.2%,17651440,6.0%,"647,947",-3.3%,45.6%,5660282,22.5%
Nikkei 225,Option,Equity,Japan,Asia,Japan Exchange,Japan Exchange,"2,977,961",16.9%,40.2%,22232656,-12.4%,"2,353,236",2.4%,7.3%,19228271,-1.2%
Chinese Renminbi/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,10,,0.0%,50,-99.9%,0,-100.0%,-100.0%,80,-99.7%
Quantro Copper (QCOP),Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,10,,-63.0%,42,-88.8%,0,,-100.0%,12,-97.9%
Quanto Soybean (QSBN),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,151,-13.7%,-98.1%,453,-94.3%,1,-98.6%,0.0%,125,12400.0%
Beef,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,0,,-100.0%,92,-67.4%,4,0.0%,-91.3%,127,-68.3%
Soya Bean Crush (CRS),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,4,,,58,,4,-50.0%,,50,
Crude Oil,Future,Energy,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,183",72666.7%,817.2%,6484,-55.2%,6,-99.4%,-80.6%,4844,7.5%
Sorghum (SORG),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,5,-54.5%,150.0%,95,-53.7%,9,-35.7%,125.0%,154,-31.6%
Quantro Cotton (QCTN),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,30,,,60,,10,,,25,
Quantro Silver (QSIL),Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,16,-68.6%,33.3%,284,-29.0%,16,-44.8%,-80.5%,266,-31.1%
KCBT Wheat,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,348,2.7%,78.5%,1150,-13.7%,18,-86.6%,-60.9%,276,-40.6%
Quantro Sugar (QSUG),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,40,14.3%,,92,-66.2%,20,100.0%,,56,80.6%
Quanto Euro/Dollar,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"20,597",-32.3%,-48.3%,256185,143.9%,30,-47.4%,-99.8%,62979,-27.4%
Quantro Crude Oil (QBRN),Future,Energy,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,17,-67.3%,-94.2%,826,-96.5%,33,-8.3%,-82.7%,704,-91.5%
Platinum,Option,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,50,,25.0%,140,-70.2%,40,33.3%,0.0%,350,-43.5%
Quantro Platinum (QPLT),Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,66,-7.0%,61.0%,656,-20.4%,55,120.0%,161.9%,406,22.3%
CBOT Wheat,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,299,22.0%,595.3%,695,-41.5%,57,-44.7%,200.0%,205,135.6%
Sorghum Bitter GH1,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,9,,,133,4333.3%,61,-1.6%,,189,3050.0%
Quantro Cocoa (QCOC),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,5,-96.1%,,780,,62,-7.5%,,438,
Quantro Gold (QGLD),Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,209,-14.7%,115.5%,1148,-50.6%,67,0.0%,-14.1%,604,-41.7%
Quantro Coffee (QCFF),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,109,84.7%,165.9%,725,-35.5%,82,331.6%,95.2%,583,-24.5%
CBOT Soybean Oil (OILS),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,0,-100.0%,-100.0%,247,8133.3%,90,0.0%,2900.0%,284,9366.7%
CBOT Soybean Meal,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,2,-91.7%,-83.3%,321,505.7%,126,0.0%,12500.0%,399,1073.5%
Japanese/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,304,-94.8%,-99.6%,41604,-71.3%,225,13.1%,-98.2%,27594,-76.1%
Quanto Gold Commodity Can-Do (XGLD),Option,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,240,,,240,,240,,,240,
Palladium (PALL),Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,0,-100.0%,-100.0%,2075,-12.8%,255,0.0%,-21.5%,2395,-6.0%
FTSE/JSE FNDI 30 Index (FNDI),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,083",5916.7%,-8.9%,2792,-16.3%,289,37.6%,13.8%,2162,-27.1%
Copper,Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,20,-96.3%,,2637,180.5%,313,-6.0%,,2116,49.3%
CBOT Soybean,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,138",120.1%,64.5%,4614,-29.0%,438,-16.4%,206.3%,2511,34.0%
Canadian Dollar/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,000",96.1%,-88.4%,26324,17.2%,500,-77.3%,-88.5%,12823,95.4%
Silver,Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,209,-40.8%,-39.9%,2546,-42.9%,542,46.1%,65.7%,1913,-58.2%
Platinum,Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,223,-58.4%,-31.8%,2636,-37.3%,666,31.4%,2927.3%,2074,-24.7%
Quanto Brent Crude Oil Commodity Can-Do (XBNT),Option,Energy,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,700,,,1500,,700,,,3900,
Kenyan Shilling/Rand (ZAKS),Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,382",,-64.7%,3672,-68.1%,"1,145",-54.7%,-17.1%,16781,45.8%
Swiss Franc/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"9,207",424.3%,13.0%,25746,-64.6%,"1,215",-76.9%,-44.0%,20219,-50.3%
FTSE/JSE Equally Weighted TOP 40 (ETOP),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,910",247.3%,,2460,-11.0%,"1,260",129.1%,,1810,-42.8%
Gold,Future,Metals,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,142,-93.5%,-76.9%,7092,-14.9%,"1,310",0.0%,187.9%,6442,-30.0%
Brent Crude Oil,Future,Energy,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"4,474",226.1%,-60.5%,27625,-40.2%,"1,661",404.9%,4.5%,5672,-69.4%
FTSE/JSE Top 40 Index - Mini (ALMI),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"32,940",3.2%,-23.4%,329564,-10.4%,"1,922",-43.3%,58.6%,19610,64.3%
British Pound/Rand,Option,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"3,000",200.0%,-67.2%,14900,-91.9%,"2,200",120.0%,-88.5%,16200,-94.6%
Quantro Corn (QCRN),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,216",-60.3%,-61.5%,22374,-69.1%,"2,241",29.7%,70.4%,12285,-17.6%
Diesel,Future,Energy,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,669,-58.7%,-66.6%,14926,-41.5%,"2,279",39.1%,19.5%,8241,-38.9%
Wheat (WEAT),Option,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,555",72.4%,479.4%,7253,-42.7%,"3,613",39.6%,-8.6%,10376,-59.2%
Soya (50t),Option,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"3,564",157.7%,13.0%,17239,-42.9%,"3,663",51.7%,48.4%,24062,-20.3%
Sunflower Seed (SUNS),Option,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,174",-71.8%,-41.6%,23268,21.7%,"5,055",15.2%,63.1%,33019,24.9%
Quanto Sterling/Dollar (GBUS),Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"5,270",-32.5%,,146562,7328000.0%,"5,270",,,33860,
MSCI South African Index (MXZA),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,379",1368.5%,-29.6%,40458,-76.4%,"7,710",-23.5%,5446.8%,75899,-55.1%
Wheat (WEAT),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"16,530",-37.5%,-37.9%,252145,-15.4%,"9,255",-3.6%,-11.9%,114831,-11.5%
Yellow Maize (YMAZ),Option,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,798",-35.1%,-26.5%,34753,-49.5%,"9,533",20.8%,-36.2%,102391,-36.4%
FTSE/JSE Capped Shareholder Weighted 40 Index (DCAP),Option,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"6,411",-42.9%,,17647,,"10,130",80.3%,,15748,
Australian Dollar/Rand (ZAAD),Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"67,450",1078.4%,32.2%,330990,66.8%,"11,770",-65.6%,4.6%,250352,94.6%
Sunflower Seed (SUNS),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"11,702",-63.4%,-27.8%,193921,22.3%,"12,148",3.0%,117.8%,82552,59.6%
Soya (50t) (SOYA),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"18,010",-42.5%,71.1%,227114,18.8%,"16,426",11.5%,129.6%,107011,53.1%
Turkish Lira/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"18,650",,,143433,143333.0%,"18,650",,,39950,
Corn,Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"9,669",-43.4%,-10.1%,131107,10.9%,"19,056",4.1%,931.2%,117689,302.0%
Yellow Maize 100 Ton (YMAZ),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"36,036",-33.5%,-16.2%,444842,10.9%,"28,983",-2.0%,55.2%,208087,29.1%
White Maize (WMAZ),Option,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"13,690",2.8%,-54.9%,131593,-48.7%,"33,210",21.7%,-11.5%,227319,-49.9%
White Maize 100 Ton (WMAZ),Future,Agriculture,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"52,743",-39.9%,-45.8%,672541,-21.4%,"40,048",1.7%,72.3%,265690,16.9%
Maxi Dollar/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"169,500",30.2%,-37.1%,796100,-56.1%,"72,100",-24.4%,46.5%,608500,-37.5%
FTSE/JSE Capped Shareholder Weighted 40 Index (DCAP),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"303,223",275.0%,,598206,,"101,979",25.1%,,375261,
Any-Day Expiry Dollar/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"125,409",-58.3%,-54.2%,1882677,126.7%,"104,790",0.1%,196.0%,438220,199.9%
Euro/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"491,855",509.8%,117.8%,2731050,59.0%,"111,904",-28.9%,-14.1%,1191214,4.7%
FTSE/JSE Top 40 Index (ALSI),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,362,939",131.8%,-13.5%,7494654,-19.9%,"146,909",-28.2%,-33.2%,1794635,-0.3%
FTSE/JSE Top 40 Index (ALSI),Option,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"119,444",-30.5%,-62.3%,1740096,-5.2%,"198,316",-28.2%,-42.8%,2845378,-2.4%
British Pound/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"537,700",218.2%,42.3%,2014775,48.4%,"211,063",2.4%,132.8%,901183,42.0%
Euro/Rand,Option,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"273,422",1481.8%,,793001,435.7%,"225,652",190.0%,3441.3%,523267,-41.1%
Equity Can-Do,Option,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"184,186",83.5%,23.6%,3905540,100.1%,"312,255",40.1%,-38.6%,4589023,5.0%
FTSE/JSE Shareholder Weighted Top 40 Index (DTOP),Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,265,088",157.4%,15.3%,7116377,13.2%,"364,332",-31.1%,-31.4%,4785389,11.9%
Equity Can-Do,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"524,065",798.6%,-60.8%,1815169,-79.2%,"480,854",59.6%,-39.8%,2696819,-44.2%
FTSE/JSE Shareholder Weighted Top 40 Index (DTOP),Option,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"252,468",1.2%,80.6%,1514598,46.2%,"725,053",-7.8%,83.2%,5725605,62.6%
Dividend,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,729,690",452.5%,28.7%,6495450,-5.9%,"916,942",-4.6%,43.3%,7577601,17.7%
Any-Day Expiry Dollar/Rand,Option,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"540,891",-46.9%,-38.4%,3871445,25.5%,"997,694",35.0%,105.9%,3058276,-1.9%
Dollar/Rand,Future,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"3,841,908",161.7%,-7.3%,27381578,33.5%,"1,233,566",-11.3%,80.7%,9068664,7.4%
All Futures on Individual Equities,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"2,493,178",533.6%,19.7%,10560749,-4.5%,"1,265,530",-3.1%,54.5%,10071979,18.4%
All Options on Individual Equities,Option,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"1,073,368",-0.7%,-14.3%,7406889,10.5%,"1,733,536",-31.2%,36.3%,17839130,40.8%
eCFD,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"404,283",-40.0%,-43.0%,7957157,-56.1%,"1,905,943",1.3%,51.5%,15650359,-20.4%
Dollar/Rand,Option,Currencies,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"776,573",-22.1%,-19.3%,6973128,-4.5%,"2,236,786",-4.2%,24.2%,15613864,10.8%
IDX Dividend,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"22,301,888",427.2%,0.0%,95288082,-25.5%,"11,617,567",-2.4%,-37.8%,122955205,-39.7%
IDX,Future,Equity,South Africa,Other,JSE Securities Exchange,JSE Securities Exchange,"23,718,040",430.3%,-1.1%,100880872,-19.1%,"12,118,562",-2.3%,-36.7%,127316553,-38.5%
Yuan,Future,Currencies,South Korea,Asia,Korea Exchange,Korea Exchange,344,64.6%,179.7%,3573,-23.1%,89,2.3%,1171.4%,827,10237.5%
Japanese Yen,Future,Currencies,South Korea,Asia,Korea Exchange,Korea Exchange,"46,311",-4.8%,11.8%,401583,5.6%,"13,097",-1.4%,-25.4%,126651,4.5%
Kosdaq 150,Future,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"250,866",88.2%,113.6%,1254209,94.5%,"30,809",-26.9%,96.9%,356798,175.2%
Euro,Future,Currencies,South Korea,Asia,Korea Exchange,Korea Exchange,"70,920",6.6%,5.5%,550833,-6.4%,"41,005",4.0%,-0.6%,326501,-12.3%
Mini Kospi 200,Future,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"1,243,070",-10.6%,79.9%,10985793,62.0%,"73,420",-36.5%,74.6%,756727,182.4%
10 Year Treasury Bond,Future,Interest Rates,South Korea,Asia,Korea Exchange,Korea Exchange,"1,276,767",34.8%,-19.7%,9758996,-7.9%,"86,749",-12.5%,23.8%,805505,9.7%
3 Year Treasury Bond,Future,Interest Rates,South Korea,Asia,Korea Exchange,Korea Exchange,"2,300,228",36.3%,-3.6%,16582514,-10.4%,"194,061",-7.3%,-32.7%,1851372,-31.7%
Mini Kospi 200,Option,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"1,303,885",1.2%,6.5%,10598539,-44.6%,"219,020",4.6%,15.7%,1708594,-22.5%
All Options on Individual Equities,Option,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"1,913,549",7.9%,37.4%,11683131,53.8%,"230,295",40.3%,98.5%,1312858,31.1%
Kospi 200,Future,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"5,482,541",5.3%,90.5%,36028334,38.9%,"300,502",-20.1%,110.9%,2727036,125.0%
US Dollar,Future,Currencies,South Korea,Asia,Korea Exchange,Korea Exchange,"4,968,226",-7.8%,-4.2%,47678840,1.8%,"739,029",-0.1%,-18.8%,6931870,-15.4%
All Futures on Individual Equities,Future,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"29,747,577",9.5%,154.7%,188864566,48.7%,"2,364,343",-0.8%,115.4%,17291871,45.6%
Kospi 200,Option,Equity,South Korea,Asia,Korea Exchange,Korea Exchange,"48,911,820",-17.9%,89.6%,401382715,53.2%,"2,914,933",-12.8%,106.3%,25305363,111.0%
North American Special Aluminum Alloy (NASAAC),Option,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,0,-100.0%,-100.0%,700,-88.7%,160,-20.0%,-77.9%,1715,-66.7%
Lead TAPOS,Option,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,0,-100.0%,-100.0%,4857,1417.8%,288,-83.9%,260.0%,3745,345.8%
Cobalt,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"1,117",144.4%,387.8%,11272,294.3%,340,-20.0%,-12.6%,3998,59.1%
Aluminium Alloy,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"3,926",11.9%,-49.6%,51542,-49.4%,496,-0.4%,-51.0%,7654,-38.8%
Steel Rebar,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"5,728",-32.8%,593.5%,45176,737.5%,"1,204",23.6%,554.3%,8576,621.3%
Special High Grade Zinc TAPOS,Option,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,33,-89.6%,-92.7%,1155,-92.3%,"1,576",-12.2%,-43.4%,22634,35.0%
Silver,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"24,284",39.7%,,52778,,"4,833",129.5%,,9185,
Steel Scrap,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"28,892",-13.6%,719.9%,198678,856.0%,"5,086",-6.4%,200.2%,42336,430.3%
North American Special Aluminum Alloy (NASAAC),Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"29,019",19.5%,-22.8%,245351,-12.4%,"5,918",8.2%,-11.6%,57984,16.7%
Standard Lead,Option,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"24,208",16.4%,-23.0%,156070,-42.4%,"13,073",-6.5%,-28.7%,139350,-34.5%
Tin,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"82,936",-22.9%,-28.1%,918964,-11.4%,"17,270",-3.6%,-19.8%,156078,-18.8%
Gold,Future,Metals,United Kingdom,Europe,London Metal Exchange,Hong Kong Exchanges and Clearing,"143,136",18.2%,,355807,,"21,631",8.4%,,57348,
